Age_Ma,T_C
0,15.66
7.11,16.02
16.59,16.39
21.33,16.57
28.44,16.75
35.55,17.06
42.65,17.42
54.5,17.78
61.61,18.09
68.72,18.27
75.83,18.51
85.31,18.82
92.42,19.06
104.27,19.42
118.48,19.91
132.7,20.27
146.92,20.64
161.14,21
168.25,21.31
180.09,21.55
196.68,21.55
210.9,21.55
218.01,21.85
225.12,22.03
236.97,22.22
251.18,22.03
255.92,21.73
258.29,21.49
263.03,21.18
263.03,20.82
270.14,20.27
270.14,19.97
272.51,19.42
272.51,19.18
272.51,18.88
277.25,18.33
279.62,17.97
277.25,17.48
279.62,16.69
279.62,16.15
279.62,15.11
284.36,16.33
291.47,16.75
291.47,17.3
300.95,17.78
308.06,16.87
312.8,17.78
315.17,18.15
322.27,18.33
327.01,18.69
336.49,19.18
348.34,19.24
355.45,19.42
360.19,19.79
362.56,20.15
374.41,19.54
381.52,19.06
388.63,18.82
398.1,17.91
402.84,17.3
405.21,16.87
405.21,16.51
405.21,15.66
405.21,15.3
412.32,14.57
412.32,12.32
417.06,11.41
424.17,10.86
426.54,10.68
433.65,12.63
433.65,13.66
438.39,14.45
440.76,17.42
440.76,19.36
445.5,19.79
447.87,20.09
452.61,21.67
457.35,21.91
459.72,27.01
464.45,29.01
471.56,29.56
478.67,30.71
485.78,32.41
495.26,30.77
492.89,28.95
495.26,28.1
500,26.89
507.11,24.89
507.11,24.34
514.22,25.55
530.81,26.53
530.81,28.29
535.55,28.83
542.65,29.5
537.91,30.96
554.5,30.41
556.87,28.95
561.61,27.56
563.98,26.46
563.98,25.61
568.72,24.7
578.2,23.61
578.2,22.64
582.94,21.55
585.31,20.76
590.05,19.24
590.05,18.15
590.05,16.02
606.64,19.06
620.85,16.57
625.59,19.79
627.96,21.91
627.96,22.94
632.7,23.67
632.7,24.76
635.07,25.55
642.18,26.28
649.29,27.19
661.14,28.59
668.25,25.43
668.25,24.76
668.25,23.85
680.09,22.94
689.57,22.03
708.53,21.37
708.53,18.88
710.9,23.61
715.64,26.71
736.97,21.85
751.18,22.94
758.29,23.67
755.92,25.37
758.29,25.43
770.14,25.98
786.73,25.74
808.06,25.74
822.27,24.58
855.45,23.13
860.19,22.22
867.3,21.49
881.52,20.58
891,20.09
891,19.73
909.95,19.42
924.17,19
933.65,18.51
957.35,17.78
964.45,17.48
981.04,16.93
985.78,16.39
995.26,15.66
1000,15.24
1007.11,14.26
1007.11,13.9
1068.72,13.84
1085.31,12.5
1111.37,12.32
1125.59,11.71
1146.92,11.41
1165.88,11.17
1187.2,10.68
1187.2,10.08
1196.68,11.35
1203.79,12.14
1210.9,12.93
1215.64,14.63
1215.64,16.33
1218.01,21.12
1222.75,22.64
1229.86,23.13
1232.23,24.4
1239.34,27.62
1246.45,24.95
1251.18,22.76
1258.29,21.85
1258.29,20.15
1270.14,24.89
1284.36,25.37
1286.73,25.74
1293.84,26.65
1298.58,27.25
1298.58,28.65
1298.58,29.86
1305.69,30.71
1312.8,32.17
1322.27,30.23
1322.27,28.59
1329.38,27.74
1336.49,27.01
1353.08,26.53
1362.56,25.55
1369.67,24.34
1383.89,23.07
1391,21.55
1398.1,18.63
1398.1,17.06
1402.84,16.02
1402.84,14.81
1412.32,13.84
1426.54,16.02
1433.65,16.93
1445.5,15.84
1445.5,14.81
1445.5,14.39
1447.87,13.47
1457.35,12.32
1459.72,10.99
1478.67,12.93
1478.67,13.72
1481.04,14.39
1485.78,15.48
1492.89,16.39
1500,17.97
1507.11,16.21
1509.48,15.6
1516.59,14.63
1528.44,13.29
1528.44,12.44
1549.76,12.26
1561.61,11.53
1578.2,11.17
1585.31,11.59
1592.42,12.14
1611.37,12.32
1620.85,11.96
1635.07,11.71
1642.18,12.14
1646.92,12.75
1646.92,13.66
1654.03,15.24
1658.77,16.39
1661.14,16.87
1661.14,17.91
1668.25,18.09
1687.2,17.91
